table,group,method,rmse_2017,gap_2017,rmse_2018,gap_2018,runtime_2017_sec,runtime_2018_sec
Table1_Metrics_LOTO,Similarity Metric,Marginal Energy Distance,3.8051,13.57,3.9487,10.85,22249.2,20657.3
Table1_Metrics_LOTO,Similarity Metric,Weighted KS,3.3505,0.0,3.5622,0.0,21692.8,20133.4
Table1_Metrics_LOTO,Similarity Metric,Mean KS Distance,3.5061,4.64,3.7141,4.26,25043.7,20916.1
Table1_Metrics_LOTO,Similarity Metric,Sinkhorn Wasserstein Distance,3.355,0.14,3.5932,0.87,21996.0,20822.5
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",thinnedSV,3.2479,0.0,3.4221,0.0,103247.7,96257.3
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",ANN,3.2784,0.94,3.4626,1.18,13158.2,12354.3
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",LGBM,3.4767,7.04,3.7533,9.68,4574.1,4401.9
Table2_LOTO,"Transfer learning (multi-source ensemble, K=7)",thinned twinGP,3.3505,3.16,3.5622,4.09,21692.8,20133.4
Table2_LOTO,Geographic-neighbor transfer (K=7),XGBoost,3.635,11.92,3.87,13.09,29.6,27.1
Table2_LOTO,Geographic-neighbor transfer (K=7),Random Forest,3.5965,10.73,3.8382,12.16,899.2,843.6
Table2_LOTO,Geographic-neighbor transfer (K=7),SVR,3.6045,10.98,3.9264,14.74,23336.6,21789.5
Table2_LOTO,Pooled training (all turbines),XGBoost,3.891,19.8,4.0886,19.48,127.9,107.0
Table2_LOTO,Pooled training (all turbines),GNN,4.0715,25.36,4.0714,18.97,49897.8,18149.8
Table2_LOTO,Pooled training (all turbines),twinGP,4.1229,26.94,4.4107,28.89,8278.4,7818.0
Table2_LOTO,Pooled training (all turbines),Binning,4.5663,40.59,4.6238,35.12,79.9,73.9
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",thinnedSV,3.5887,2.27,4.4608,1.59,9940.2,9889.8
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",ANN,3.5092,0.0,4.4074,0.38,2577.7,2577.7
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",LGBM,3.5511,1.19,4.3908,0.0,1118.3,1117.9
Table2_DFP,"Transfer learning (multi-source ensemble, K=7)",thinned twinGP,3.6337,3.55,4.4977,2.44,2185.1,2166.8
Table2_DFP,Geographic-neighbor transfer (K=7),XGBoost,3.899,11.11,4.9963,13.79,3.1,3.0
Table2_DFP,Geographic-neighbor transfer (K=7),Random Forest,3.8963,11.03,4.9649,13.08,98.1,98.7
Table2_DFP,Geographic-neighbor transfer (K=7),SVR,3.8315,9.18,5.0465,14.94,2388.2,2380.9
Table2_DFP,Pooled training (all turbines),XGBoost,3.7458,6.74,4.7962,9.23,22.5,22.5
Table2_DFP,Pooled training (all turbines),GNN,6.1425,75.04,6.7657,54.09,4778.0,4776.8
Table2_DFP,Pooled training (all turbines),twinGP,3.8511,9.74,4.9074,11.77,873.8,868.5
Table2_DFP,Pooled training (all turbines),Binning,4.2797,21.96,5.0225,14.39,8.4,7.9
