method,target,year,donors_used,n_models,rmse,mae,runtime_sec
TF_thinnedSV,38,2017,"27,15,29,4,3,21,18",7,2.82470318658204,1.91213480957437,1320.005
TF_thinnedSV,38,2018,"27,15,29,4,3,21,18",7,3.61297398103349,2.05732053168103,1337.693
TF_thinnedSV,39,2017,"3,27,4,50,15,29,23",7,3.01973792414777,2.21557601162008,1327.88
TF_thinnedSV,39,2018,"3,27,4,50,15,29,23",7,3.22297961248625,1.90825753569267,1339.127
TF_thinnedSV,40,2017,"49,16,6,50,26,23,47",7,3.21326556339052,2.18390690612221,1399.375
TF_thinnedSV,40,2018,"49,16,6,50,26,23,47",7,4.5065777083382,2.44387257403409,1395.698
TF_thinnedSV,41,2017,"33,10,35,25,5,36,11",7,5.21282844519304,3.9645416767835,1502.554
TF_thinnedSV,41,2018,"33,10,35,25,5,36,11",7,5.09076978112661,3.69727205448732,1496.632
TF_thinnedSV,42,2017,"36,12,51,46,32,34,9",7,2.79350991576679,1.91316654254111,1467.28199999999
TF_thinnedSV,42,2018,"36,12,51,46,32,34,9",7,3.93398860529994,2.42064469613821,1462.403
TF_thinnedSV,43,2017,"49,6,26,45,22,47,50",7,3.03025344692033,2.06649051463584,1468.352
TF_thinnedSV,43,2018,"49,6,26,45,22,47,50",7,5.06149321368392,3.483735408499,1464.851
TF_thinnedSV,44,2017,"37,1,33,56,30,10,25",7,5.0267525720906,3.92727689194007,1454.72199999999
TF_thinnedSV,44,2018,"37,1,33,56,30,10,25",7,5.79648676889499,4.21064873989635,1393.387
